Username,Comment
@sumitdahiya8249,"Hansi flick did the same when he was in bayern. Highly back line, offside traps and shit loads of goals. @yash do you agree?"
@Saaaaaady,Where can I rewatch football full match? Does anyone know??
@DeependraRasal,If Ancelloti not goes with last years formation with Bellingham at false 9 then we may not survive this season... Drastic change in winning formation cost us very badly...
@amanlunghunaga,still he is offside
@Invictus0111,Dil pe pathar rakh k Dena aapne.  😂😂😂
@suhaibkhan3806,Anti jinx wla bnda kidhr h. Jldi aao be. Yeh khaa jyega warna team ko
@Anik_.,7:58 : exactly how Busquets became the greatest Dmf
@huzaifahumar9214,"Real has always relied on Individuals, they have no philosophy. When they face a smart and organised team they always get exposed."
@jameslimbu7313,Vaag chenchudd tera v meme hogyaa hy...
@alphaarsenic8323,Such a great tactical breakdown and most of the comments are talking about jinx. L comment section
@sonic-yr5lh,"No penalty ar por vafor del real Madrid 😑...endrick and arda ko chance dena chahiye tha bache..., bache se khelte.... maza ata.."
@devil_edits277,Bro your hairstyle 😂😂😂 0:58
@reyajulmistry9930,Bhai sadme m tha isliye review itna late aya 😂
@RohitSharma-n7h,It is monday and 🐢 is still offside 🤦
@Shisho1109,anti jinx button ....pls bhagwan
@sankalpsingh5619,Penbappe scored two penalties in the most overrated hatrick of all time in wc final after ghosting for 80 mins straight 😅😂
@shumelahmed3889,1:01 Flicki Faka 😅
@OsamabinShah-b5p,If Barcelona win against Madrid then  Hala Madrid fan said fifa need to change rule of offside 😂😂😂😂 bro if Barca attack 11 player then you said fifa need to change rule 😂😂😂
@abhishektyagi705,From jinxing to milking 😢
@anirudh_100,Madrid's defence has been terrible this season.
@vivekkhalate3296,Ye Mbappe onside kyu nahi aa raha😅💀
@harsh00721,FLICKI FLAKA
@anujdhawak,Imagine closing the roof of the stadium just to get cooked inside😂
@Prasanta_kalita10,Reports saying that Mbappe is Still offside😢
@youareeverything1533,Football Football bhot bada Football knowledge hai gandhu
@AnimeshKumar-lx9pn,I think the oversized Adidas kit of Real madrid is making mbappe more incofident he's always been playing with nike tight jersey which gives him proper shape and confidence. I know many will lough but this can a reason of many cause i feel free playing in tight jersey and face problem playing with oversize.
@sandipmajhi1399,1:36 BBC Center Back 😂
@Prasanta_kalita10,"Oh Hein to woh batche he. To doston aaj Madrid, Mbappe  vIni barca o khol degi. Ham ye match jeet rahe hein Doston. Ganduwala in preview 🤣"
@obito6624,Flicki flaka was a nice one😂😂
@OsamabinShah-b5p,If Barcelona win against Madrid then  Hala Madrid fan said fifa need to change rule of offside 😂😂😂😂 bro if Barca attack 11 player then you said fifa need to change rule 😂😂😂
@youareeverything1533,Badwaa bas kar rey
@rajveerarora5501,Bhagwaan iski nazar lagne se bachana.🧿🧿
@8yeasrsback,12 offside
@sarangjain3304,"Haaland does exactly what you said mbappe can’t do. Haaland drops 10 times and makes than run again 10 times. Man was offside just 8 times in entire last year and yaha mbappe ek match mein 8 baar. 
Making those run is basic quality for a top striker especially when you have that mad pace. 
Mbappe was horrible."
@ShubhamKumar-vh7ti,"Absolutely brilliant analysis mate , really enjoyed the video 😊"
@Gkontry,"Mbappe world cup hat-trick is too overrated 

One good goal



And two penalties only


In rest time he was clueless on the pitch"
@yashrane1023,9:17 👌🏼
@azadkhan2140,New football tactics has come.  It's  Flicky Flacka⚔️🤣
@prateekkamble3803,"Flicki flaka 😂😂😂😂
New game play is introduced in Football ⚽️ today"
@pratikvarade3263,Apna Skin care routine bata bhai kya use krta hai?? Ya phir bas assuon 🥲ka kamal hai
@Chhetrysushil,Finally mbappe ne apna idol ronaldo ka offside record toh tod diya 😢😢it was morata and ronaldo in laliga and now it is mbappe 🐐🐐😎😎
@itsollgoodman,"""Aisa kya"""
@NirdeshChaudhary-sc1rx,Jinx
